##! [ RR header version 0.1a ]
##! created: 24/09/2014 14:18:52
##! location: /mnt/mnemo2/damian/PaxDB/groups/paxdb_website_groups_consistent/68525.deproteobacteria.orthgroups.consistent.txt
##! interpreter: python
##! script: /mnt/mnemo2/damian/PaxDB/sources/consistent/decompress.py
##! args: 
##! machine: imlslnx-atlas
##! rundir: /mnt/mnemo2/damian/PaxDB/sources/consistent
##! script timestamp: 24/09/2014 13:58:51
##! script MD5: 3f108046336d187b95c2e42c296efb1d
##! input file: /mnt/mnemo2/damian/PaxDB/groups/og_ogid_mapping_og3/68525.paxdb.og_ogid.og3.txt timestamp: 24/09/2014 12:07:55
##! input file: /mnt/mnemo2/damian/PaxDB/groups/paxdb_mapped_consistent/68525.paxdb.orthgroups.og3.txt timestamp: 24/09/2014 13:16:52
##! input file: /mnt/mnemo2/damian/eggNOGv4/eggNOGv4_computations/eggnog4/NOG_COG/protein.shorthands.txt timestamp: 21/11/2013 17:24:45
##!
NOG00001:	192222.Cj0023 882.DVU2942 85962.HP1112
NOG00860:	192222.Cj0370 85962.HP0562
NOG00861:	85962.HP0586 192222.Cj0530
NOG00862:	882.DVU1606 85962.HP0490
NOG00863:	192222.Cj1124c 882.DVU0327 882.DVU0281
NOG00864:	192222.Cj0938c 882.DVU3065 882.DVU1453 882.DVU3119
NOG00865:	85962.HP1504 192222.Cj0495
NOG00866:	85962.HP1443 192222.Cj1104
NOG00867:	192222.Cj0320 85962.HP0353
NOG00868:	882.DVU1529 192222.Cj0054c
NOG00869:	192222.Cj0009 882.DVU2476 882.DVU1772
NOG00870:	192222.Cj1198 85962.HP0105
NOG00871:	882.DVU1655 85962.HP0624
NOG00872:	882.DVU1364 192222.Cj1319
NOG00873:	192222.Cj0500 882.DVU0568
NOG00874:	192222.Cj0385c 85962.HP1234
NOG00875:	85962.HP1473 192222.Cj1028c
NOG00876:	192222.Cj0447 85962.HP0507
NOG00877:	192222.Cj1050c 85962.HP1259
NOG00878:	192222.Cj1210 85962.HP1162
NOG00880:	882.DVU1377 192222.Cj0575
NOG00881:	192222.Cj1579c 85962.HP1260
NOG00882:	192222.Cj0496 85962.HP0274
NOG00883:	85962.HP0752 192222.Cj0548
NOG00884:	85962.HP1208 192222.Cj0208
NOG00885:	882.DVU1252 192222.Cj1126c
NOG00886:	192222.Cj1538c 882.DVU0747
NOG00887:	85962.HP1378 192222.Cj1074c
NOG00888:	85962.HP1161 192222.Cj1382c
NOG00889:	192222.Cj1370 85962.HP0735
NOG00890:	882.DVU1981 192222.Cj0374
NOG00891:	192222.Cj1404 85962.HP1337
NOG00892:	882.DVU2238 192222.Cj0904c
NOG00893:	85962.HP0933 192222.Cj0159c
NOG00894:	192222.Cj0497 85962.HP0275
NOG00895:	85962.HP0525 882.DVU2122
NOG00896:	882.DVU0752 192222.Cj0921c 882.DVU2342
NOG00897:	192222.Cj0560 85962.HP1184
NOG00898:	882.DVU1778 192222.Cj0948c
NOG00899:	192222.Cj1556 882.DVU2423
NOG00900:	192222.Cj0923c 882.DVU2076 882.DVU1595
NOG00901:	192222.Cj1372 882.DVU1243
NOG00902:	192222.Cj1090c 85962.HP1546
NOG00903:	85962.HP0975 192222.Cj0398
NOG00904:	882.DVU0072 192222.Cj1329 192222.Cj1423c
NOG00905:	882.DVU2348 85962.HP0865
NOG00906:	882.DVU0915 85962.HP0709
NOG00907:	192222.Cj0008 85962.HP0937
NOG00908:	192222.Cj1637c 85962.HP0660
NOG00909:	192222.Cj0044c 85962.HP0884 192222.Cj0800c
NOG00910:	192222.Cj0830 85962.HP1502
NOG00911:	192222.Cj1493c 85962.HP0861
NOG00912:	882.DVU2565 85962.HP0029
NOG00913:	192222.Cj0603c 882.DVU0999
NOG00914:	882.DVU1422 192222.Cj1478c
NOG00915:	85962.HP1338 882.DVU2891
NOG00916:	192222.Cj0244 85962.HP0125
NOG00917:	192222.Cj0999c 882.DVU0543 882.DVU0123
NOG00918:	85962.HP1036 192222.Cj0065c
NOG00919:	192222.Cj1351 85962.HP0499
NOG00920:	192222.Cj1660 882.DVU3322
NOG00921:	192222.Cj0621 85962.HP0635
NOG00922:	192222.Cj1569c 85962.HP1270
NOG00923:	85962.HP0686 192222.Cj0755 85962.HP1400 85962.HP0807
NOG00924:	192222.Cj1687 882.DVU1895
NOG00925:	882.DVU0424 85962.HP0190
NOG00926:	85962.HP0605 192222.Cj1031
NOG00927:	882.DVU1263 192222.Cj0825
NOG00928:	882.DVU1372 85962.HP0644
NOG00929:	85962.HP1098 85962.HP0235 85962.HP0211 192222.Cj0413 85962.HP0160
NOG00930:	85962.HP0236 192222.Cj0854c
NOG00931:	192222.Cj1643 85962.HP0036
NOG00932:	192222.Cj1575c 85962.HP1264
NOG00933:	882.DVU0698 192222.Cj1430c
NOG00934:	85962.HP0927 882.DVU2494
NOG00935:	882.DVU1561 192222.Cj1507c
NOG00936:	882.DVU1599 192222.Cj0517
NOG00937:	882.DVU0125 85962.HP1488
NOG00938:	192222.Cj1597 882.DVU0114
NOG00939:	85962.HP1124 192222.Cj0114
NOG00940:	192222.Cj0630c 85962.HP1247
NOG00941:	192222.Cj0817 882.DVU1238 85962.HP0940 192222.Cj0734c
NOG00942:	192222.Cj1223c 85962.HP1365
NOG00943:	882.DVU1670 192222.Cj1505c
NOG00944:	85962.HP0307 192222.Cj0852c
NOG00945:	85962.HP1407 192222.Cj1212c
NOG00946:	882.DVU0795 192222.Cj0512
NOG00947:	192222.Cj1146c 882.DVU0552 192222.Cj1139c
NOG00948:	85962.HP0761 192222.Cj1208
NOG00949:	192222.Cj1533c 85962.HP1321
NOG00950:	192222.Cj1080c 85962.HP1224
NOG00951:	192222.Cj1127c 192222.Cj1129c
NOG00952:	882.DVU1705 85962.HP1383
NOG00953:	85962.HP1230 192222.Cj0583
NOG00954:	882.DVU3270 192222.Cj0082
NOG00955:	192222.Cj0235c 85962.HP1255
NOG00956:	192222.Cj0440c 85962.HP1287
NOG00957:	192222.Cj1650 85962.HP1076
NOG00958:	85962.HP1047 192222.Cj0137
NOG00959:	192222.Cj0331c 85962.HP0199
NOG00960:	192222.Cj1217c 882.DVU0365
NOG00961:	192222.Cj0547 85962.HP0751
NOG00962:	882.DVU2078 192222.Cj0924c 882.DVU1596
NOG00963:	192222.Cj0977 85962.HP0420
NOG00964:	882.DVU1294 192222.Cj0620 85962.HP0806
NOG00965:	85962.HP0312 882.DVU2805
NOG00966:	192222.Cj1551c 85962.HP0462
NOG00967:	85962.HP0823 192222.Cj0148c
NOG00968:	882.DVU0113 192222.Cj1604
NOG00969:	192222.Cj1517 85962.HP0801
NOG00970:	85962.HP1231 192222.Cj0584
NOG00971:	192222.Cj0397c 85962.HP0864
NOG00972:	192222.Cj1670c 85962.HP0156
NOG00973:	192222.Cj0286c 85962.HP0394
NOG00974:	882.DVU0338 85962.HP1207
NOG00975:	192222.Cj0514 882.DVU1622
NOG00976:	85962.HP0769 192222.Cj1350
NOG00977:	192222.Cj0837c 85962.HP0418
NOG00978:	192222.Cj0466 882.DVU2547
NOG00979:	192222.Cj0761 85962.HP0902
NOG00980:	192222.Cj1255 85962.HP0924
NOG00981:	85962.HP0468 192222.Cj1459
NOG00982:	85962.HP1568 192222.Cj0649
NOG00983:	882.DVU2119 192222.Cj1474c
NOG00984:	192222.Cj1313 85962.HP0327
NOG00985:	85962.HP0827 882.DVU1257 882.DVU2215 882.DVU2430
NOG00986:	192222.Cj0133 85962.HP1051
NOG00987:	192222.Cj1463 85962.HP0245
NOG00988:	85962.HP1258 192222.Cj0232c
NOG00989:	192222.Cj0573 882.DVU1791
NOG00990:	85962.HP0181 192222.Cj0399
NOG00991:	192222.Cj0091 85962.HP1457
NOG00992:	192222.Cj1508c 882.DVU0578
NOG00993:	882.DVU2389 882.DVU3100 192222.Cj0180
NOG00994:	882.DVU3189 192222.Cj0636
NOG00995:	85962.HP1377 192222.Cj1075
NOG00996:	85962.HP0288 192222.Cj0721c
NOG00997:	85962.HP0555 192222.Cj0151c
NOG00998:	882.DVU2292 85962.HP0869 192222.Cj0627
NOG00999:	85962.HP0200 192222.Cj0330c
NOG01000:	85962.HP0899 192222.Cj0624
NOG01001:	192222.Cj0831c 882.DVU0924
NOG01002:	882.DVU2983 192222.Cj1716c
NOG01003:	192222.Cj0041 85962.HP0906
NOG01004:	85962.HP1492 192222.Cj1639
NOG01005:	85962.HP1341 192222.Cj1630 192222.Cj0753c
NOG01006:	882.DVU0134 192222.Cj1438c 85962.HP0102 192222.Cj1128c 192222.Cj1434c
NOG01007:	192222.Cj0979c 882.DVU2007 882.DVU1481
NOG01008:	882.DVU0079 192222.Cj0263
NOG01009:	192222.Cj1496c 85962.HP0257
NOG01010:	85962.HP1401 882.DVU1702
NOG01011:	192222.Cj1111c 882.DVU1351
NOG01012:	192222.Cj1173 882.DVU3327
NOG01013:	85962.HP0508 192222.Cj1214c
NOG01014:	85962.HP1331 882.DVU0031
NOG01015:	192222.Cj0593c 882.DVU2672
NOG01016:	85962.HP1311 192222.Cj1699c
NOG01017:	85962.HP1542 192222.Cj1086c
NOG01018:	85962.HP0035 192222.Cj1642
NOG01019:	85962.HP0320 192222.Cj1176c
NOG01020:	882.DVU1392 882.DVU3188 192222.Cj1653c
NOG01021:	882.DVU3137 192222.Cj0485
NOG01022:	882.DVU3143 882.DVU0535
NOG01023:	85962.HP0664 192222.Cj0993c
NOG01024:	192222.Cj0667 85962.HP1423
NOG01025:	192222.Cj1135 882.DVU0872
NOG01026:	192222.Cj0472 85962.HP1203a
NOG01027:	882.DVU1331 192222.Cj1000
NOG01028:	192222.Cj0277 85962.HP1372
NOG01029:	192222.Cj0613 882.DVU2477
NOG01030:	192222.Cj0449c 85962.HP1242
NOG01031:	192222.Cj1100 85962.HP0469
NOG01032:	192222.Cj1284 882.DVU0412
NOG01033:	882.DVU1098 85962.HP0092 882.DVU2733 85962.HP1352 85962.HP0050
NOG01034:	882.DVU2335 192222.Cj0633
NOG01035:	192222.Cj0354c 85962.HP0277
NOG01036:	85962.HP0776 192222.Cj1273c
NOG01037:	85962.HP1136 192222.Cj0103
NOG01038:	882.DVU0505 192222.Cj1102
NOG01039:	192222.Cj1516 882.DVU2661
NOG01040:	882.DVU1217 85962.HP0759
NOG01041:	192222.Cj0248 882.DVU1183 882.DVU3021 882.DVU2357 882.DVU0330 882.DVU2068 882.DVU0903
NOG01042:	85962.HP1449 192222.Cj0959c
NOG01043:	85962.HP0334 192222.Cj0635
NOG01044:	882.DVU0593 85962.HP0718
NOG01045:	85962.HP1102 882.DVU2313
NOG01046:	85962.HP1150 192222.Cj0711
NOG01047:	85962.HP1060 192222.Cj0579c
NOG01048:	85962.HP0659 192222.Cj1289
NOG01049:	192222.Cj1356c 85962.HP0234
NOG01050:	192222.Cj0478 882.DVU2928
NOG01052:	192222.Cj1112c 882.DVU0576
